popularity,frequency
1,20.2999
2,11.328
3,8.3925
4,6.8103
5,6.0544
6,5.5794
7,5.2367
8,5.016
9,4.8792
10,4.7909
11,4.8355
12,4.849
13,4.8929
14,4.9917
15,5.1137
16,5.2863
17,5.4989
18,5.735
19,5.9862
20,6.1797
21,6.398
22,6.6436
23,6.9235
24,7.2032
25,7.5327
26,7.8691
27,8.2252
28,8.5791
29,8.9766
30,9.3816
31,9.7851
32,10.2254
33,10.6752
34,11.1285
35,11.6422
36,12.1936
37,12.7912
38,13.3267
39,13.9291
40,14.4892
41,15.0787
42,15.6667
43,16.2725
44,16.9152
45,17.5604
46,18.2705
47,18.9385
48,19.6078
49,20.2788
50,20.9659
51,21.649
52,22.2932
53,22.979
54,23.6515
55,24.2814
56,24.8175
57,25.3686
58,25.8741
59,26.2828
60,26.6465
61,26.9535
62,27.2644
63,27.4927
64,27.6542
65,27.7417
66,27.7706
67,27.6056
68,27.4096
69,27.125
70,26.6695
71,26.1851
72,25.5671
73,24.8248
74,23.981
75,23.0361
76,22.0733
77,20.9327
78,19.6714
79,18.3588
80,16.9978
81,15.595
82,14.1977
83,12.7233
84,11.2782
85,9.8493
86,8.4736
87,7.1883
88,5.9954
89,4.8566
90,3.8328
91,2.9488
92,2.1957
93,1.5602
94,1.0467
95,0.6423
96,0.3668
97,0.1887
98,0.0725
99,0.0243
100,0.0026
