popularity,frequency
1,20.392
2,13.8182
3,10.7869
4,9.1307
5,8.1468
6,7.551
7,7.0409
8,6.5821
9,6.2701
10,6.0058
11,5.7491
12,5.5435
13,5.4236
14,5.3017
15,5.2179
16,5.0819
17,5.0368
18,5.0205
19,4.9524
20,4.9135
21,4.8962
22,4.886
23,4.8914
24,4.8485
25,4.8571
26,4.8505
27,4.8818
28,4.9086
29,4.8956
30,4.87
31,4.8487
32,4.83
33,4.8168
34,4.8056
35,4.7761
36,4.788
37,4.7691
38,4.7392
39,4.7104
40,4.6716
41,4.6164
42,4.5599
43,4.5115
44,4.4434
45,4.3504
46,4.2589
47,4.1716
48,4.0773
49,3.9978
50,3.9114
51,3.8093
52,3.7365
53,3.669
54,3.5267
55,3.4154
56,3.3205
57,3.2094
58,3.0848
59,2.9243
60,2.8029
61,2.6768
62,2.5312
63,2.3606
64,2.2023
65,2.0724
66,1.9561
67,1.8191
68,1.6798
69,1.5469
70,1.4304
71,1.3058
72,1.1811
73,1.0625
74,0.9378
75,0.8448
76,0.7337
77,0.6453
78,0.5579
79,0.4686
80,0.4024
81,0.325
82,0.2718
83,0.2211
84,0.1783
85,0.1399
86,0.1124
87,0.0824
88,0.0627
89,0.0435
90,0.0312
91,0.0222
92,0.0147
93,0.0099
94,0.0063
95,0.0028
96,0.003
97,0.0017
98,0.0007
99,0
100,0
