popularity,frequency
1,19.9995
2,20.2646
3,19.1477
4,17.3349
5,14.7549
6,12.5623
7,10.6447
8,8.9527
9,7.4461
10,6.1978
11,4.8868
12,3.7051
13,2.8798
14,2.128
15,1.6073
16,1.2194
17,0.8831
18,0.6467
19,0.4567
20,0.3535
21,0.2567
22,0.1876
23,0.1353
24,0.0984
25,0.0597
26,0.0376
27,0.0218
28,0.0194
29,0.0129
30,0.0076
31,0.0027
32,0.0004
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
