popularity,frequency
1,55
2,18
3,7
4,13
5,3
6,6
7,2
8,3
9,5
10,2
11,4
12,3
13,6
14,2
15,
16,5
17,2
18,1
19,1
20,
21,1
22,3
23,1
24,1
25,
26,1
27,3
28,2
29,1
30,
31,1
32,2
33,1
34,1
35,
36,2
37,
38,1
39,
40,
41,
42,
43,1
44,
45,1
46,
47,1
48,1
49,
50,
51,
52,
53,
54,
55,1
56,
57,
58,1
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,1
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,1
87,
88,
89,
90,
91,
92,1
93,1
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,1
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,1
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,1
